dataset	sample	role	cluster	file	source_dir	source_file	source_note
ZNF8	clone_14	reads		reads.fastq	ZNF8/ZNF8	14_TSM20260827-020-01363_20260828-020-BAN10-5_H01.fastq	
ZNF8	clone_14	consensus	1	consensus.1.fa	ZNF8/ZNF8	14_TSM20260827-020-01363_20260828-020-BAN10-5_H01.1.seq	
ZNF8	clone_14	consensus	2	consensus.2.fa	ZNF8/ZNF8	14_TSM20260827-020-01363_20260828-020-BAN10-5_H01.2.seq	
ZNF8	clone_14	reference.self		reference.self.fa	ZNF8/ZNF8	14_TSM20260827-020-01363_20260828-020-BAN10-5_H01.1.seq	公司主导共识序列（cluster 1）
ZNF8	clone_14	reference.wt		reference.wt.fa	ZNF8/2026.8.29-wt	WT_TSM20260828-020-01380_20260829-020-BAN05-4_B11.1.seq	WT 对照
ZNF8	clone_14	sanger	1	sanger.1.ab1	ZNF8/ZNF8	14_TSM20260827-020-01363_20260828-020-BAN10-5_H01.1_1.ab1	
ZNF8	clone_14	sanger	2	sanger.2.ab1	ZNF8/ZNF8	14_TSM20260827-020-01363_20260828-020-BAN10-5_H01.2_1.ab1	
