dataset	sample	role	cluster	file	source_dir	source_file	source_note
TSM20260826	293T-E4	reads		reads.fastq	TSM20260826-020-01254	293T-E4_TSM20260826-020-01254_20260827-020-BAN05-5_G08.fastq	
TSM20260826	293T-E4	consensus	1	consensus.1.fa	TSM20260826-020-01254	293T-E4_TSM20260826-020-01254_20260827-020-BAN05-5_G08.1.seq	
TSM20260826	293T-E4	reference.self		reference.self.fa	TSM20260826-020-01254	293T-E4_TSM20260826-020-01254_20260827-020-BAN05-5_G08.1.seq	公司主导共识序列（cluster 1）
TSM20260826	293T-E4	variants	1	variants.1.xlsx	TSM20260826-020-01254	293T-E4_TSM20260826-020-01254_20260827-020-BAN05-5_G08.1.变异统计表.xlsx	
TSM20260826	293T-E4	sanger	1	sanger.1.ab1	TSM20260826-020-01254	293T-E4_TSM20260826-020-01254_20260827-020-BAN05-5_G08.1_1.ab1	
