dataset	sample	mode	ref_label	status	elapsed_sec	error	run_dir
ZNF8	clone_12	A	self	ok	0.31	""	tmp/test_results/r/test_run_win/ZNF8/clone_12/mode_A/self
ZNF8	clone_12	A	wt	ok	0.37	""	tmp/test_results/r/test_run_win/ZNF8/clone_12/mode_A/wt
ZNF8	clone_12	B	self	ok	2.4	""	tmp/test_results/r/test_run_win/ZNF8/clone_12/mode_B/self
ZNF8	clone_12	B	wt	ok	2.27	""	tmp/test_results/r/test_run_win/ZNF8/clone_12/mode_B/wt
ZNF8	clone_12	C	self	ok	0.05	""	tmp/test_results/r/test_run_win/ZNF8/clone_12/mode_C/self
ZNF8	clone_12	C	wt	ok	0.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_12/mode_C/wt
ZNF8	clone_13	A	self	ok	0.25	""	tmp/test_results/r/test_run_win/ZNF8/clone_13/mode_A/self
ZNF8	clone_13	A	wt	ok	0.27	""	tmp/test_results/r/test_run_win/ZNF8/clone_13/mode_A/wt
ZNF8	clone_13	B	self	ok	1.14	""	tmp/test_results/r/test_run_win/ZNF8/clone_13/mode_B/self
ZNF8	clone_13	B	wt	ok	1.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_13/mode_B/wt
ZNF8	clone_13	C	self	ok	0.05	""	tmp/test_results/r/test_run_win/ZNF8/clone_13/mode_C/self
ZNF8	clone_13	C	wt	ok	0.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_13/mode_C/wt
ZNF8	clone_14	A	self	ok	0.22	""	tmp/test_results/r/test_run_win/ZNF8/clone_14/mode_A/self
ZNF8	clone_14	A	wt	ok	0.26	""	tmp/test_results/r/test_run_win/ZNF8/clone_14/mode_A/wt
ZNF8	clone_14	B	self	ok	1.59	""	tmp/test_results/r/test_run_win/ZNF8/clone_14/mode_B/self
ZNF8	clone_14	B	wt	ok	1.81	""	tmp/test_results/r/test_run_win/ZNF8/clone_14/mode_B/wt
ZNF8	clone_14	C	self	ok	0.05	""	tmp/test_results/r/test_run_win/ZNF8/clone_14/mode_C/self
ZNF8	clone_14	C	wt	ok	0.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_14/mode_C/wt
ZNF8	clone_16	A	self	ok	0.29	""	tmp/test_results/r/test_run_win/ZNF8/clone_16/mode_A/self
ZNF8	clone_16	A	wt	ok	0.31	""	tmp/test_results/r/test_run_win/ZNF8/clone_16/mode_A/wt
ZNF8	clone_16	B	self	ok	1.62	""	tmp/test_results/r/test_run_win/ZNF8/clone_16/mode_B/self
ZNF8	clone_16	B	wt	ok	1.63	""	tmp/test_results/r/test_run_win/ZNF8/clone_16/mode_B/wt
ZNF8	clone_16	C	self	ok	0.05	""	tmp/test_results/r/test_run_win/ZNF8/clone_16/mode_C/self
ZNF8	clone_16	C	wt	ok	0.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_16/mode_C/wt
ZNF8	clone_17	A	self	ok	0.21	""	tmp/test_results/r/test_run_win/ZNF8/clone_17/mode_A/self
ZNF8	clone_17	A	wt	ok	0.26	""	tmp/test_results/r/test_run_win/ZNF8/clone_17/mode_A/wt
ZNF8	clone_17	B	self	ok	0.82	""	tmp/test_results/r/test_run_win/ZNF8/clone_17/mode_B/self
ZNF8	clone_17	B	wt	ok	0.92	""	tmp/test_results/r/test_run_win/ZNF8/clone_17/mode_B/wt
ZNF8	clone_17	C	self	ok	0.05	""	tmp/test_results/r/test_run_win/ZNF8/clone_17/mode_C/self
ZNF8	clone_17	C	wt	ok	0.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_17/mode_C/wt
ZNF8	clone_18	A	self	ok	0.21	""	tmp/test_results/r/test_run_win/ZNF8/clone_18/mode_A/self
ZNF8	clone_18	A	wt	ok	0.27	""	tmp/test_results/r/test_run_win/ZNF8/clone_18/mode_A/wt
ZNF8	clone_18	B	self	ok	0.9	""	tmp/test_results/r/test_run_win/ZNF8/clone_18/mode_B/self
ZNF8	clone_18	B	wt	ok	0.99	""	tmp/test_results/r/test_run_win/ZNF8/clone_18/mode_B/wt
ZNF8	clone_18	C	self	ok	0.05	""	tmp/test_results/r/test_run_win/ZNF8/clone_18/mode_C/self
ZNF8	clone_18	C	wt	ok	0.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_18/mode_C/wt
ZNF8	clone_20	A	self	ok	0.21	""	tmp/test_results/r/test_run_win/ZNF8/clone_20/mode_A/self
ZNF8	clone_20	A	wt	ok	0.2	""	tmp/test_results/r/test_run_win/ZNF8/clone_20/mode_A/wt
ZNF8	clone_20	B	self	ok	1.07	""	tmp/test_results/r/test_run_win/ZNF8/clone_20/mode_B/self
ZNF8	clone_20	B	wt	ok	1.15	""	tmp/test_results/r/test_run_win/ZNF8/clone_20/mode_B/wt
ZNF8	clone_20	C	self	ok	0.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_20/mode_C/self
ZNF8	clone_20	C	wt	ok	0.03	""	tmp/test_results/r/test_run_win/ZNF8/clone_20/mode_C/wt
ZNF8	clone_3	A	self	ok	0.29	""	tmp/test_results/r/test_run_win/ZNF8/clone_3/mode_A/self
