dataset	sample	role	cluster	file	source_dir	source_file	source_note
nano_seq	G5	reads		reads.fastq	nano_seq	G5_TSM20260917-020-01097_20260918-020-BAN05-5_E05.fastq	
nano_seq	G5	consensus	1	consensus.1.fa	nano_seq	G5_TSM20260917-020-01097_20260918-020-BAN05-5_E05.1.seq	
nano_seq	G5	reference.self		reference.self.fa	nano_seq	G5_TSM20260917-020-01097_20260918-020-BAN05-5_E05.1.seq	公司主导共识序列（cluster 1）
nano_seq	G5	reference.wt		reference.wt.fa	nano_seq	293T-G5_TSM20260917-020-01097_20260918-020-BAN05-5_H04.1.seq	独立对照参考: 293T-G5
nano_seq	G5	variants	1	variants.1.xlsx	nano_seq	G5_TSM20260917-020-01097_20260918-020-BAN05-5_E05.1.变异统计表.xlsx	
nano_seq	G5	sanger	1	sanger.1.ab1	nano_seq	G5_TSM20260917-020-01097_20260918-020-BAN05-5_E05.1_1.ab1	
