dataset	sample	role	cluster	file	source_dir	source_file	source_note
TSM20260826	E4-9	reads		reads.fastq	TSM20260826-020-01254	E4-9_TSM20260826-020-01254_20260827-020-BAN05-5_A09.fastq	
TSM20260826	E4-9	consensus	1	consensus.1.fa	TSM20260826-020-01254	E4-9_TSM20260826-020-01254_20260827-020-BAN05-5_A09.1.seq	
TSM20260826	E4-9	reference.self		reference.self.fa	TSM20260826-020-01254	E4-9_TSM20260826-020-01254_20260827-020-BAN05-5_A09.1.seq	公司主导共识序列（cluster 1）
TSM20260826	E4-9	reference.wt		reference.wt.fa	TSM20260826-020-01254	293T-E4_TSM20260826-020-01254_20260827-020-BAN05-5_G08.1.seq	独立对照参考: 293T-E4
TSM20260826	E4-9	variants	1	variants.1.xlsx	TSM20260826-020-01254	E4-9_TSM20260826-020-01254_20260827-020-BAN05-5_A09.1.变异统计表.xlsx	
TSM20260826	E4-9	sanger	1	sanger.1.ab1	TSM20260826-020-01254	E4-9_TSM20260826-020-01254_20260827-020-BAN05-5_A09.1_1.ab1	
