dataset	sample	role	cluster	file	source_dir	source_file	source_note
ZNF8	clone_13	reads		reads.fastq	ZNF8/ZNF8	13_TSM20260827-020-01363_20260828-020-BAN10-5_G01.fastq	
ZNF8	clone_13	consensus	1	consensus.1.fa	ZNF8/ZNF8	13_TSM20260827-020-01363_20260828-020-BAN10-5_G01.1.seq	
ZNF8	clone_13	consensus	2	consensus.2.fa	ZNF8/ZNF8	13_TSM20260827-020-01363_20260828-020-BAN10-5_G01.2.seq	
ZNF8	clone_13	reference.self		reference.self.fa	ZNF8/ZNF8	13_TSM20260827-020-01363_20260828-020-BAN10-5_G01.1.seq	公司主导共识序列（cluster 1）
ZNF8	clone_13	reference.wt		reference.wt.fa	ZNF8/2026.8.29-wt	WT_TSM20260828-020-01380_20260829-020-BAN05-4_B11.1.seq	WT 对照
ZNF8	clone_13	variants	1	variants.1.xlsx	ZNF8/ZNF8	13_TSM20260827-020-01363_20260828-020-BAN10-5_G01.1.变异统计表.xlsx	
ZNF8	clone_13	sanger	1	sanger.1.ab1	ZNF8/ZNF8	13_TSM20260827-020-01363_20260828-020-BAN10-5_G01.1_1.ab1	
ZNF8	clone_13	sanger	2	sanger.2.ab1	ZNF8/ZNF8	13_TSM20260827-020-01363_20260828-020-BAN10-5_G01.2_1.ab1	
