dataset	sample	role	cluster	file	source_dir	source_file	source_note
TSM20260826	293T-G2	reads		reads.fastq	TSM20260826-020-01254	293T-G2_TSM20260826-020-01254_20260827-020-BAN05-5_C09.fastq	
TSM20260826	293T-G2	consensus	1	consensus.1.fa	TSM20260826-020-01254	293T-G2_TSM20260826-020-01254_20260827-020-BAN05-5_C09.1.seq	
TSM20260826	293T-G2	consensus	2	consensus.2.fa	TSM20260826-020-01254	293T-G2_TSM20260826-020-01254_20260827-020-BAN05-5_C09.2.seq	
TSM20260826	293T-G2	reference.self		reference.self.fa	TSM20260826-020-01254	293T-G2_TSM20260826-020-01254_20260827-020-BAN05-5_C09.1.seq	公司主导共识序列（cluster 1）
TSM20260826	293T-G2	variants	1	variants.1.xlsx	TSM20260826-020-01254	293T-G2_TSM20260826-020-01254_20260827-020-BAN05-5_C09.1.变异统计表.xlsx	
TSM20260826	293T-G2	variants	2	variants.2.xlsx	TSM20260826-020-01254	293T-G2_TSM20260826-020-01254_20260827-020-BAN05-5_C09.2.变异统计表.xlsx	
TSM20260826	293T-G2	sanger	1	sanger.1.ab1	TSM20260826-020-01254	293T-G2_TSM20260826-020-01254_20260827-020-BAN05-5_C09.1_1.ab1	
TSM20260826	293T-G2	sanger	2	sanger.2.ab1	TSM20260826-020-01254	293T-G2_TSM20260826-020-01254_20260827-020-BAN05-5_C09.2_1.ab1	
