dataset	sample	role	cluster	file	source_dir	source_file	source_note
nano_seq	G4	reads		reads.fastq	nano_seq	G4_TSM20260917-020-01097_20260918-020-BAN05-5_D05.fastq	
nano_seq	G4	consensus	1	consensus.1.fa	nano_seq	G4_TSM20260917-020-01097_20260918-020-BAN05-5_D05.1.seq	
nano_seq	G4	reference.self		reference.self.fa	nano_seq	G4_TSM20260917-020-01097_20260918-020-BAN05-5_D05.1.seq	公司主导共识序列（cluster 1）
nano_seq	G4	reference.wt		reference.wt.fa	nano_seq	293T-G4_TSM20260917-020-01097_20260918-020-BAN05-5_G04.1.seq	独立对照参考: 293T-G4
nano_seq	G4	variants	1	variants.1.xlsx	nano_seq	G4_TSM20260917-020-01097_20260918-020-BAN05-5_D05.1.变异统计表.xlsx	
nano_seq	G4	sanger	1	sanger.1.ab1	nano_seq	G4_TSM20260917-020-01097_20260918-020-BAN05-5_D05.1_1.ab1	
